id	标题	链接	评分	海报	播放源	新电影
5262339	天才捕手	https://movie.douban.com/subject/5262339/	7.2	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2376331508.jpg	noplayable	nonew
25662329	疯狂动物城	https://movie.douban.com/subject/25662329/	9.2	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2315672647.jpg	playable	nonew
26678760	禁止的爱：善良的小姨子	https://movie.douban.com/subject/26678760/	5.5	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2291579046.jpg	noplayable	nonew
25821673	阿薇尔与虚构世界	https://movie.douban.com/subject/25821673/	7.8	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2333129394.jpg	noplayable	nonew
20365404	金钱怪兽	https://movie.douban.com/subject/20365404/	6.9	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2325326034.jpg	playable	nonew
26296258	胡丽叶塔	https://movie.douban.com/subject/26296258/	7.2	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2322750048.jpg	noplayable	nonew
26354587	寻：电影版	https://movie.douban.com/subject/26354587/	8.0	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2362114917.jpg	noplayable	nonew
25762270	不朽的时光	https://movie.douban.com/subject/25762270/	6.7	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2327510508.jpg	playable	nonew
5327268	荒野猎人	https://movie.douban.com/subject/5327268/	7.8	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2323258429.jpg	playable	nonew
26263428	为什么猫都叫不来	https://movie.douban.com/subject/26263428/	7.5	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2267508677.jpg	noplayable	nonew
6873736	愤怒的小鸟	https://movie.douban.com/subject/6873736/	7.1	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2352310242.jpg	noplayable	nonew
26303622	大空头	https://movie.douban.com/subject/26303622/	8.3	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2283531871.jpg	playable	nonew
26425533	回到被爱的每一天	https://movie.douban.com/subject/26425533/	7.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2277006636.jpg	noplayable	nonew
25835285	男与女	https://movie.douban.com/subject/25835285/	7.0	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2308184818.jpg	noplayable	nonew
25919910	师父	https://movie.douban.com/subject/25919910/	8.1	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2293405567.jpg	playable	nonew
25697098	裁缝	https://movie.douban.com/subject/25697098/	7.8	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2287885206.jpg	noplayable	nonew
26726098	他是龙	https://movie.douban.com/subject/26726098/	7.4	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2374045871.jpg	noplayable	nonew
3077412	寻龙诀	https://movie.douban.com/subject/3077412/	7.6	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2284620292.jpg	playable	nonew
11589036	功夫熊猫3	https://movie.douban.com/subject/11589036/	7.7	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2306653420.jpg	playable	nonew
26411409	怦然星动	https://movie.douban.com/subject/26411409/	4.3	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2287482537.jpg	playable	nonew
