id	标题	链接	评分	海报	播放源	新电影
4944008	香肠派对	https://movie.douban.com/subject/4944008/	7.5	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2371145119.jpg	noplayable	nonew
19944106	美人鱼	https://movie.douban.com/subject/19944106/	6.9	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2316177058.jpg	playable	nonew
26271094	谎言西西里	https://movie.douban.com/subject/26271094/	4.7	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2367900345.jpg	playable	nonew
25855071	初恋这首情歌	https://movie.douban.com/subject/25855071/	8.2	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2312765873.jpg	noplayable	nonew
2131940	魔兽	https://movie.douban.com/subject/2131940/	7.8	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2345947329.jpg	noplayable	nonew
26607928	那件疯狂的小事叫爱情	https://movie.douban.com/subject/26607928/	4.1	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2370648731.jpg	playable	nonew
25820460	美国队长3	https://movie.douban.com/subject/25820460/	7.7	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332503406.jpg	playable	nonew
25777636	奇幻森林	https://movie.douban.com/subject/25777636/	7.8	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2326337223.jpg	playable	nonew
26020796	家族之苦	https://movie.douban.com/subject/26020796/	8.1	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2364502659.jpg	noplayable	nonew
26820450	我被爸爸绑架了	https://movie.douban.com/subject/26820450/	7.7	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2376420827.jpg	noplayable	nonew
3008662	琼斯的自由国度	https://movie.douban.com/subject/3008662/	6.8	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2360053583.jpg	noplayable	nonew
26382689	仁川登陆作战	https://movie.douban.com/subject/26382689/	5.3	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2368325484.jpg	noplayable	nonew
26695145	发条城市	https://movie.douban.com/subject/26695145/	6.0	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2364302622.jpg	playable	nonew
26591654	地雷区	https://movie.douban.com/subject/26591654/	8.5	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2273266824.jpg	noplayable	nonew
26700818	极品基老伴：完结篇	https://movie.douban.com/subject/26700818/	9.3	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2360539785.jpg	noplayable	nonew
25917787	耐撕侦探	https://movie.douban.com/subject/25917787/	7.0	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2352586529.jpg	noplayable	nonew
26411219	变焦	https://movie.douban.com/subject/26411219/	7.0	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2327560779.jpg	noplayable	new
26373527	好友请求	https://movie.douban.com/subject/26373527/	6.0	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2277065823.jpg	noplayable	nonew
26235349	三人行	https://movie.douban.com/subject/26235349/	6.0	https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2360775241.jpg	playable	nonew
4811813	独立日：卷土重来	https://movie.douban.com/subject/4811813/	5.7	https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2362976267.jpg	noplayable	nonew
